r y calc
2.56 0.250722582037 -0.275464569623
2.58 0.24429255895 -0.268314614654
2.6 0.237905509974 -0.261241582785
2.62 0.231535842707 -0.254221681945
2.64 0.22516856802 -0.247243333853
2.66 0.21880544606 -0.240312088859
2.68 0.212459201945 0.233444631135
2.7 0.206144630108 0.226659432451
2.72 0.199871930537 -0.219971018945
2.74 0.193645469508 0.21338776449
2.76 0.187464501457 -0.206913295385
2.78 0.181325006991 -0.200547769717
2.8 0.175221275394 -0.194289368416
2.82 0.169147908769 -0.188135552653
2.84 0.163099634251 -0.182083166563
2.86 0.157073858579 0.176129953289
2.88 0.151070339012 -0.170274280746
2.9 0.145090435476 -0.145090435476
2.92 0.139141186345 -0.139141186345
2.94 0.133229765875 -0.133229765875
2.96 0.127366723543 -0.127366723543
